Method,MAE (all),RMSE,% within 5%,MAE ATM,MAE OTM,Speed ms/opt,Best Use
Black-Scholes,0.8613780757554318,1.2649738955188627,45.0,0.6033720022056025,0.01579744113016483,0.010083549132104963,Fast European baseline
CRR Binomial N=200,0.8613267829775227,1.264527530364992,44.5,0.6049981225947578,0.016614587700921002,14.441527495364426,American / early-exercise
Monte Carlo 100k,0.8553529169453262,1.2657520118153522,46.5,0.6071041667324198,0.015570592341487055,1.3090462805121206,Exotic / path-dependent
LSTM-BS Hybrid,0.4477287691313752,0.733562978973243,41.5,1.1523015037528208,0.02829731566754503,0.01066775672370568,Time-series vol forecasting
MLP Pricer,3.3742953724436457,4.057285865299416,27.0,1.3813034801221475,3.8959420380112406,0.10346437498810701,Ultra-fast batch pricing
VAE-IV → BS,2.093336773119357,2.9064922682490533,30.5,5.183768197422433,1.2091403667404905,0.04126481479033828,IV surface interpolation
